"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 27, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 26, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 25, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 24, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 23, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 20, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 19, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 18, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 17, 2020","34.05","34.05","34.05","34.05","-","0.00%"
"Mar 16, 2020","34.05","34.05","34.05","34.05","-","-5.55%"
"Mar 13, 2020","36.05","36.05","36.05","36.05","-","0.00%"
"Mar 12, 2020","36.05","36.05","36.05","36.05","-","0.00%"
"Mar 11, 2020","36.05","36.05","36.05","36.05","-","-2.70%"
"Mar 10, 2020","37.05","37.05","37.05","37.05","-","0.00%"
"Mar 09, 2020","37.05","37.05","37.05","37.05","-","-10.83%"
"Mar 06, 2020","41.55","41.55","41.55","41.55","-","-5.68%"
"Mar 05, 2020","44.05","44.05","44.05","44.05","-","-2.22%"
"Mar 04, 2020","45.05","45.05","45.05","45.05","-","0.00%"
"Mar 03, 2020","45.05","45.05","45.05","45.05","-","0.00%"
"Mar 02, 2020","45.05","45.05","45.05","45.05","-","0.00%"
"Feb 28, 2020","45.05","45.05","45.05","45.05","-","0.00%"
"Feb 27, 2020","45.05","45.05","45.05","45.05","-","0.00%"
"Feb 26, 2020","45.05","45.05","45.05","45.05","-","2.27%"
"Feb 25, 2020","44.05","44.05","44.05","44.05","-","0.00%"
"Feb 24, 2020","44.05","44.05","44.05","44.05","-","0.00%"
"Feb 21, 2020","44.05","44.05","44.05","44.05","-","0.00%"
"Feb 20, 2020","44.05","44.05","44.05","44.05","-","0.00%"
"Feb 19, 2020","44.05","44.05","44.05","44.05","-","0.00%"
"Feb 18, 2020","44.05","44.05","44.05","44.05","-","0.00%"
"Feb 17, 2020","44.05","44.05","44.05","44.05","-","29.37%"
