"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.04.2022","312,00","312,00","312,00","312,00","0,04K","0,94%"
"12.04.2022","309,10","300,00","303,50","300,00","0,06K","6,35%"
"11.04.2022","290,65","292,00","292,00","292,00","0,04K","-0,33%"
"08.04.2022","291,60","291,60","291,60","291,60","0,04K","3,53%"
"07.04.2022","281,65","296,00","296,00","285,00","0,10K","0,23%"
"05.04.2022","281,00","281,00","281,00","281,00","0,07K","6,44%"
"04.04.2022","264,00","264,00","264,00","264,00","0,01K","2,03%"
"01.04.2022","258,75","258,75","258,75","258,75","0,05K","-0,10%"
"31.03.2022","259,00","261,00","264,00","261,00","0,01K","-0,38%"
"30.03.2022","260,00","261,00","261,00","259,00","0,02K","2,60%"
"29.03.2022","253,40","258,00","258,00","258,00","0,18K","-2,44%"
"28.03.2022","259,75","261,00","261,00","261,00","0,04K","-20,60%"
"25.03.2022","327,15","262,75","262,75","262,75","-","0,15%"
"24.03.2022","326,65","326,65","326,65","326,65","-","0,40%"
"23.03.2022","325,35","325,00","325,00","325,00","0,01K","-1,08%"
"22.03.2022","328,90","330,00","330,00","330,00","0,01K","-0,15%"
"21.03.2022","329,40","329,40","329,40","329,40","-","-1,96%"
"18.03.2022","336,00","335,00","335,00","334,50","0,03K","-0,37%"
"17.03.2022","337,25","337,25","337,25","337,25","0,01K","-0,81%"
"16.03.2022","340,00","351,00","351,00","340,00","0,04K","-1,73%"
"15.03.2022","346,00","361,50","361,50","361,50","0,03K","-4,35%"
"14.03.2022","361,75","361,75","361,75","361,75","0,04K","-1,87%"
"11.03.2022","368,65","368,00","376,00","366,00","0,12K","-1,26%"
"10.03.2022","373,35","380,00","380,00","380,00","0,36K","-11,24%"
"09.03.2022","420,65","425,00","425,00","415,00","0,07K","-0,59%"
"08.03.2022","423,15","415,00","415,00","405,00","0,03K","0,12%"
"07.03.2022","422,65","422,65","422,65","422,65","-","0,93%"
"04.03.2022","418,75","400,00","435,00","400,00","0,06K","13,18%"
"03.03.2022","370,00","370,00","370,00","370,00","0,09K","-15,91%"
"02.03.2022","440,00","400,00","400,00","400,00","0,08K","40,58%"
"01.03.2022","313,00","299,00","301,00","299,00","0,12K","14,03%"
"28.02.2022","274,50","262,50","286,00","262,50","0,14K","15,05%"
"25.02.2022","238,60","239,00","239,00","239,00","0,00K","-0,38%"
"24.02.2022","239,50","239,00","239,25","239,00","0,01K","0,76%"
"23.02.2022","237,70","238,00","238,00","238,00","0,04K","0,61%"
"22.02.2022","236,25","236,50","236,50","235,00","0,01K","1,03%"
"21.02.2022","233,85","233,85","233,85","233,85","-","0,65%"
"18.02.2022","232,35","232,50","232,50","232,50","0,00K","-0,02%"
"17.02.2022","232,40","234,50","234,50","234,50","0,00K","-1,32%"
"16.02.2022","235,50","236,00","236,00","236,00","0,00K","-1,46%"
"15.02.2022","239,00","239,00","239,00","239,00","0,01K","-0,42%"
"14.02.2022","240,00","243,50","243,50","240,00","0,01K","-2,04%"
"11.02.2022","245,00","245,00","245,00","245,00","-","2,47%"
"10.02.2022","239,10","239,10","239,10","239,10","-","-0,06%"
"09.02.2022","239,25","242,00","242,00","235,00","0,02K","0,00%"
"08.02.2022","239,25","239,00","241,00","239,00","0,00K","1,38%"
"07.02.2022","236,00","231,00","236,00","231,00","0,07K","3,83%"
"04.02.2022","227,30","223,00","227,00","223,00","0,04K","2,85%"
"03.02.2022","221,00","216,00","216,00","216,00","0,04K","0,41%"
"02.02.2022","220,10","220,00","220,00","220,00","0,06K","0,92%"
"01.02.2022","218,10","210,00","210,50","210,00","0,08K","-2,09%"
"31.01.2022","222,75","222,75","222,75","222,75","0,07K","-2,15%"
"28.01.2022","227,65","227,00","227,00","227,00","-","0,02%"
"27.01.2022","227,60","227,60","227,60","227,60","0,00K","-0,09%"
"26.01.2022","227,80","227,80","227,80","227,80","-","0,22%"
"25.01.2022","227,30","227,30","227,30","227,30","-","0,91%"
"24.01.2022","225,25","225,25","225,25","225,25","0,00K","0,29%"
"21.01.2022","224,60","225,00","226,00","225,00","0,00K","-0,47%"
"20.01.2022","225,65","226,00","226,00","226,00","0,00K","1,14%"
"19.01.2022","223,10","223,10","223,10","223,10","0,02K","0,95%"
"18.01.2022","221,00","221,00","221,00","221,00","0,01K","0,23%"
"17.01.2022","220,50","220,50","220,50","220,50","0,01K","1,73%"
"14.01.2022","216,75","220,00","220,00","220,00","0,01K","2,48%"
"13.01.2022","211,50","209,50","209,50","209,50","0,01K","4,19%"
"12.01.2022","203,00","205,00","205,00","205,00","0,04K","2,99%"
"11.01.2022","197,10","197,00","198,00","197,00","0,09K","0,31%"
"10.01.2022","196,50","203,00","205,00","203,00","0,08K","0,31%"
"07.01.2022","195,90","195,00","195,00","195,00","0,73K","-0,31%"
"06.01.2022","196,50","190,00","193,00","189,25","0,48K","9,23%"
"05.01.2022","179,90","180,00","180,00","180,00","0,02K","3,33%"
"04.01.2022","174,10","172,00","174,00","171,00","0,27K","10,54%"
"03.01.2022","157,50","157,50","157,50","157,50","0,00K","-7,13%"
"31.12.2021","169,60","169,60","169,60","169,60","-","-0,29%"
"30.12.2021","170,10","170,10","170,10","170,10","-","-0,58%"
"29.12.2021","171,10","171,10","171,10","171,10","-","0,06%"
"28.12.2021","171,00","171,00","171,00","171,00","-","0,53%"
"27.12.2021","170,10","170,10","170,10","170,10","-","0,71%"
"24.12.2021","168,90","168,90","168,90","168,90","-","-0,30%"
"23.12.2021","169,40","169,40","169,40","169,40","-","-0,06%"
"22.12.2021","169,50","169,50","169,50","169,50","-","0,30%"
"21.12.2021","169,00","169,00","169,00","169,00","-","0,51%"
"20.12.2021","168,15","168,15","168,15","168,15","-","0,09%"
"17.12.2021","168,00","168,00","168,00","168,00","-","-0,30%"
"16.12.2021","168,50","168,50","168,50","168,50","-","2,28%"
"15.12.2021","164,75","164,75","164,75","164,75","-","0,00%"
"14.12.2021","164,75","164,75","164,75","164,75","-","0,30%"
